SeqIDs	lh1	lh2	lh3	weight1	weight2	weight3	area	corner
(6,4,2,7)	-1122.07	-1122.07	-1100.65	4.98758e-10	4.98452e-10	1	3	3
(8,4,6,7)	-1173.16	-1181.6	-1180.73	0.999272	0.000215231	0.00051232	1	1
(6,5,1,3)	-1074.42	-1076.28	-1076.8	0.800931	0.124828	0.0742408	1	1
(4,8,7,2)	-1280.95	-1282.41	-1278.63	0.0875518	0.0204533	0.891995	3	3
(4,2,7,8)	-1278.63	-1282.41	-1280.95	0.891993	0.0204552	0.0875516	1	1
(5,7,2,3)	-1156.32	-1156	-1159.12	0.411122	0.563961	0.0249172	4	2
(4,2,7,6)	-1100.65	-1122.07	-1122.07	1	4.9844e-10	4.9843e-10	1	1
(2,5,8,6)	-1272.29	-1271.2	-1272.37	0.204649	0.606352	0.188998	7	2
(2,8,3,4)	-1248.81	-1247.8	-1246.46	0.0706105	0.192548	0.736841	3	3
(4,7,2,1)	-1139.3	-1141.55	-1143.77	0.894974	0.0947964	0.0102301	1	1
(3,1,7,2)	-1105.21	-1096.39	-1104.67	0.000148366	0.999598	0.000253981	2	2
(6,3,4,2)	-1131.38	-1135.73	-1136.12	0.97888	0.0125826	0.00853775	1	1
(1,6,5,4)	-1119.78	-1119.53	-1117.47	0.0805881	0.10393	0.815482	3	3
(3,2,8,5)	-1259.05	-1257.71	-1258.96	0.168845	0.646192	0.184962	7	2
(4,2,5,8)	-1291.84	-1293.13	-1290.73	0.231765	0.0641076	0.704127	6	3
(5,2,7,1)	-1148.1	-1139.98	-1148.64	0.000299319	0.999527	0.000173923	2	2
(8,6,4,7)	-1181.6	-1173.16	-1180.73	0.000215231	0.999273	0.000512241	2	2
(6,4,3,8)	-1212.75	-1212.36	-1214.23	0.370917	0.544761	0.0843228	4	2
(6,3,8,4)	-1212.36	-1214.23	-1212.75	0.544801	0.0843158	0.370884	6	1
(2,5,6,8)	-1272.29	-1272.37	-1271.2	0.204704	0.188985	0.606311	7	3
(8,6,1,4)	-1213.18	-1213.22	-1210.52	0.0614737	0.0595039	0.879022	3	3
(1,6,3,8)	-1164.21	-1166.55	-1166.53	0.837343	0.0803529	0.0823039	1	1
(2,3,4,7)	-1157.32	-1151.4	-1157.55	0.00267801	0.995195	0.00212667	2	2
(7,4,5,1)	-1145.31	-1143.31	-1145.42	0.108355	0.795196	0.0964487	2	2
(8,4,6,7)	-1173.16	-1181.6	-1180.73	0.999272	0.000215231	0.00051232	1	1
(5,8,3,1)	-1207.27	-1207.28	-1204.41	0.0513296	0.0508048	0.897866	3	3
(5,4,6,3)	-1131.25	-1129.67	-1131.16	0.14352	0.699226	0.157254	2	2
(4,5,8,2)	-1293.13	-1290.73	-1291.84	0.0640995	0.704162	0.231739	5	2
(5,6,1,2)	-1114.01	-1123.27	-1122.64	0.999726	9.47181e-05	0.000179501	1	1
(3,1,6,5)	-1074.42	-1076.8	-1076.28	0.800889	0.0742873	0.124824	1	1
(2,3,5,1)	-1113.96	-1113.71	-1108.19	0.00310696	0.00398304	0.99291	3	3
(3,7,5,6)	-1060.07	-1047.67	-1060.24	4.12333e-06	0.999992	3.48931e-06	2	2
(4,3,7,6)	-1052.89	-1066.19	-1066.14	0.999997	1.67827e-06	1.76107e-06	1	1
(6,1,4,3)	-1075.53	-1075.02	-1075.21	0.2473	0.412094	0.340607	7	2
(5,1,2,6)	-1123.27	-1122.63	-1114.01	9.47401e-05	0.000179626	0.999726	3	3
(1,4,7,6)	-1047.51	-1063.57	-1063.57	1	1.05666e-07	1.05639e-07	1	1
(4,8,1,3)	-1198.48	-1199.18	-1200.04	0.585265	0.291023	0.123713	4	1
(2,1,4,8)	-1231.81	-1236.76	-1238.11	0.991202	0.00698067	0.00181739	1	1
(6,1,2,7)	-1081.53	-1081.53	-1048.26	3.56503e-15	3.56331e-15	1	3	3
(2,4,8,5)	-1291.84	-1293.13	-1290.73	0.232077	0.0640829	0.70384	6	3
(4,2,7,8)	-1278.63	-1282.41	-1280.95	0.891993	0.0204552	0.0875516	1	1
(8,6,5,2)	-1272.29	-1272.37	-1271.2	0.204851	0.188695	0.606454	7	3
(8,2,7,4)	-1282.41	-1278.63	-1280.95	0.0204422	0.89207	0.0874874	2	2
(2,6,7,8)	-1203.43	-1204.46	-1199.42	0.0176189	0.00630342	0.976078	3	3
(6,7,2,1)	-1048.26	-1081.53	-1081.53	1	3.56326e-15	3.56531e-15	1	1
(4,8,2,6)	-1267.07	-1266.93	-1268.48	0.418186	0.479486	0.102328	4	2
(7,1,3,6)	-1025.81	-1025.73	-1003.77	2.70382e-10	2.9108e-10	1	3	3
(3,2,8,6)	-1227.7	-1227.64	-1227.7	0.326992	0.346038	0.32697	7	2
(1,2,3,5)	-1108.19	-1113.71	-1113.96	0.992912	0.00398289	0.00310461	1	1
(5,6,2,1)	-1114.01	-1122.64	-1123.27	0.999726	0.0001795	9.47172e-05	1	1
(6,1,8,3)	-1164.21	-1166.56	-1166.53	0.837845	0.0801417	0.0820132	1	1
(2,8,4,7)	-1282.41	-1278.63	-1280.95	0.0204419	0.89205	0.0875079	2	2
(2,1,3,7)	-1096.39	-1104.67	-1105.21	0.999598	0.000254122	0.00014837	1	1
(5,6,8,2)	-1271.2	-1272.37	-1272.29	0.606503	0.188789	0.204709	7	1
(3,5,8,1)	-1207.28	-1204.41	-1207.27	0.050771	0.897939	0.0512902	2	2
(5,7,6,8)	-1175.07	-1173.02	-1172.09	0.0349744	0.272736	0.69229	5	3
(8,3,5,6)	-1209.64	-1215.18	-1215.12	0.991963	0.00389644	0.00414105	1	1
(1,2,6,7)	-1048.26	-1081.53	-1081.53	1	3.56411e-15	3.56368e-15	1	1
(2,1,6,4)	-1113.23	-1118.44	-1116.03	0.937846	0.00512472	0.0570295	1	1
(6,4,8,7)	-1180.74	-1181.6	-1173.16	0.000511335	0.000215141	0.999274	3	3
(1,5,2,3)	-1113.96	-1108.19	-1113.71	0.00310454	0.992913	0.00398266	2	2
(4,5,1,8)	-1251.58	-1251.44	-1248.53	0.0431466	0.0497623	0.907091	3	3
(4,1,2,3)	-1104.95	-1103.11	-1101.13	0.0189339	0.119308	0.861758	3	3
(7,2,1,8)	-1238.98	-1238.51	-1231.42	0.000516325	0.000829723	0.998654	3	3
(2,5,6,3)	-1137.07	-1139.85	-1135.91	0.234638	0.0146207	0.750741	3	3
(8,5,6,4)	-1258.62	-1258.82	-1253.94	0.00918403	0.00746867	0.983347	3	3
(5,8,6,4)	-1258.62	-1253.94	-1258.83	0.00915385	0.983401	0.00744542	2	2
(5,7,2,4)	-1192.44	-1196.73	-1197.78	0.981798	0.0134675	0.00473496	1	1
(5,3,1,7)	-1098.55	-1098.43	-1097.36	0.185547	0.208877	0.605577	7	3
(5,7,6,8)	-1175.07	-1173.02	-1172.09	0.0349744	0.272736	0.69229	5	3
(3,4,6,7)	-1052.89	-1066.19	-1066.14	0.999997	1.67829e-06	1.76059e-06	1	1
(3,6,7,4)	-1066.19	-1066.14	-1052.89	1.67828e-06	1.7604e-06	0.999997	3	3
(6,3,5,8)	-1215.18	-1209.64	-1215.12	0.00390755	0.991946	0.00414605	2	2
(6,5,1,8)	-1211.23	-1211.89	-1211.89	0.489747	0.255127	0.255126	7	1
(4,1,3,6)	-1075.21	-1075.53	-1075.02	0.340633	0.247313	0.412055	7	3
(4,2,3,7)	-1151.4	-1157.55	-1157.32	0.995191	0.00212611	0.00268253	1	1
(1,7,3,4)	-1100.06	-1099.84	-1098.65	0.157034	0.196609	0.646358	5	3
(1,4,8,6)	-1213.18	-1213.21	-1210.52	0.0614691	0.0597076	0.878823	3	3
(7,2,1,8)	-1238.98	-1238.51	-1231.42	0.000516325	0.000829723	0.998654	3	3
(6,3,2,5)	-1137.07	-1139.85	-1135.91	0.234655	0.0146305	0.750715	3	3
(1,2,4,8)	-1231.81	-1238.11	-1236.76	0.991196	0.00181842	0.00698546	1	1
(2,8,6,4)	-1268.48	-1267.07	-1266.93	0.102333	0.418236	0.479431	5	3
(3,7,4,5)	-1149.97	-1149.67	-1151.14	0.374974	0.508735	0.116291	4	2
(6,8,3,2)	-1227.7	-1227.7	-1227.64	0.327047	0.32702	0.345933	7	3
(3,5,4,7)	-1151.14	-1149.67	-1149.97	0.116263	0.508782	0.374954	5	2
(6,8,7,4)	-1181.6	-1173.16	-1180.74	0.000215145	0.999274	0.00051134	2	2
(4,3,1,5)	-1116.28	-1115.68	-1116.21	0.256775	0.466969	0.276256	7	2
(5,1,6,4)	-1119.53	-1117.47	-1119.78	0.103908	0.815536	0.0805557	2	2
(1,2,5,4)	-1143.95	-1145.44	-1146.5	0.767022	0.173281	0.0596975	1	1
(7,1,5,3)	-1098.55	-1097.36	-1098.43	0.185548	0.605547	0.208905	7	2
(3,8,2,7)	-1239.54	-1239.04	-1239.72	0.287736	0.473048	0.239216	7	2
(4,3,7,8)	-1226.17	-1225.99	-1224.88	0.171884	0.205228	0.622888	7	3
(7,8,6,2)	-1203.43	-1199.42	-1204.46	0.0176345	0.976059	0.00630623	2	2
(1,4,8,2)	-1238.11	-1236.76	-1231.81	0.00181842	0.0069855	0.991196	3	3
(6,7,5,4)	-1089.69	-1098.91	-1098.88	0.999799	9.83034e-05	0.000102225	1	1
(1,2,8,7)	-1231.42	-1238.97	-1238.51	0.998646	0.000523969	0.000830352	1	1
(6,4,1,5)	-1119.53	-1119.78	-1117.47	0.103939	0.0805519	0.815509	3	3
(3,6,8,2)	-1227.7	-1227.64	-1227.7	0.326969	0.346037	0.326993	7	2
(4,5,2,7)	-1197.78	-1192.44	-1196.73	0.0047347	0.981799	0.0134661	2	2
(4,7,6,5)	-1098.92	-1098.88	-1089.69	9.81831e-05	0.000102025	0.9998	3	3
(5,4,3,8)	-1252.7	-1251.04	-1254.02	0.153611	0.80566	0.0407289	2	2
(4,3,6,8)	-1214.23	-1212.75	-1212.36	0.0843814	0.370493	0.545125	5	3
(7,4,3,5)	-1151.14	-1149.97	-1149.67	0.116256	0.374866	0.508878	5	3
(3,5,1,4)	-1115.68	-1116.21	-1116.28	0.466885	0.276295	0.256821	7	1
(3,6,1,2)	-1073.3	-1080.21	-1079.53	0.997043	0.000994994	0.0019618	1	1
(3,7,4,5)	-1149.97	-1149.67	-1151.14	0.374974	0.508735	0.116291	4	2
(4,2,8,1)	-1236.77	-1231.81	-1238.11	0.00696545	0.991215	0.00181964	2	2
(7,4,5,2)	-1196.73	-1192.44	-1197.78	0.0134634	0.981799	0.00473779	2	2
(1,6,7,3)	-1025.73	-1025.81	-1003.77	2.91096e-10	2.70423e-10	1	3	3
(8,4,6,3)	-1212.36	-1214.23	-1212.75	0.544556	0.0843198	0.371125	6	1
(6,4,8,1)	-1213.22	-1213.18	-1210.52	0.0594461	0.0614893	0.879065	3	3
(2,6,1,3)	-1080.21	-1073.3	-1079.53	0.00099518	0.997042	0.00196269	2	2
(8,4,5,6)	-1253.94	-1258.62	-1258.82	0.983347	0.00918389	0.00746869	1	1
(5,3,1,8)	-1207.28	-1204.41	-1207.27	0.0508298	0.897818	0.0513517	2	2
(6,1,7,5)	-1059.46	-1046.02	-1059.5	1.46152e-06	0.999997	1.39764e-06	2	2
(6,4,5,1)	-1119.53	-1117.47	-1119.78	0.103938	0.81551	0.080552	2	2
